manufacturer,code,name,start_date,end_date,manufacturer_description,tags,synonyms,coe,type,manufacturer_url,image_path,image_url,stock_type
GAF,G-100,Enamel White Limited Availability Opaque,,,Gaffer Enamel White Limited Availability Opaque,"""white""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-100-Enamel-White-Limited-Availability/,,,
GAF,G-101,Opal White Opaque,,,Gaffer Opal White Opaque,"""white""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-101-Opal-White/,,,
GAF,G-102,Ivory Limited Availability Opaque,,,Gaffer Ivory Limited Availability Opaque,"""white"", ""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-102-Ivory-Limited-Availability/,,,
GAF,G-103,Latte Limited Availability Opaque,,,Gaffer Latte Limited Availability Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-103-Latte-Limited-Availability/,,,
GAF,G-104,Light Tobacco Limited Availability Opaque,,,Gaffer Light Tobacco Limited Availability Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-104-Light-Tobacco-Limited-Availability/,,,
GAF,G-105,Duck Egg White Limited Availability Opaque,,,Gaffer Duck Egg White Limited Availability Opaque,"""white""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-105-Duck-Egg-White-Limited-Availability/,,,
GAF,G-106,Cream Limited Availability Opaque,,,Gaffer Cream Limited Availability Opaque,"""white"", ""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-106-Cream-Limited-Availability/,,,
GAF,G-107,Weimaraner Brown Opaque,,,Gaffer Weimaraner Brown Opaque,"""brown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-107-Weimaraner-Brown/,,,
GAF,G-108,Pigeon Grey Limited Availability Opaque,,,Gaffer Pigeon Grey Limited Availability Opaque,"""gray"", ""grey""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-108-Pigeon-Grey-Limited-Availability/,,,
GAF,G-109,Chalcedony (Raku) Limited Availability Opaque,,,Gaffer Chalcedony (Raku) Limited Availability Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-109-Chalcedony-Raku-Limited-Availability/,,,
GAF,G-1095,Blue Chalcedony (Raku) Limited Availability Opaque,,,Gaffer Blue Chalcedony (Raku) Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-1095-Blue-Chalcedony-Raku-Limited-Availability/,,,
GAF,G-110,Gold Pink Extra Limited Availability Opaque,,,Gaffer Gold Pink Extra Limited Availability Opaque,"""pink"", ""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-110-Gold-Pink-Extra-Limited-Availability/,,,
GAF,G-111,Salmon Opaque,,,Gaffer Salmon Opaque,"""orange"", ""pink""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-111-Salmon/,,,
GAF,G-112,Pale Rose Limited Availability Opaque,,,Gaffer Pale Rose Limited Availability Opaque,"""pink"", ""red""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-112-Pale-Rose-Limited-Availability/,,,
GAF,G-113,Heliotrope Limited Availability Opaque,,,Gaffer Heliotrope Limited Availability Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-113-Heliotrope-Limited-Availability/,,,
GAF,G-114,Purple Limited Availability Opaque,,,Gaffer Purple Limited Availability Opaque,"""purple""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-114-Purple-Limited-Availability/,,,
GAF,G-115,Violet Limited Availability Opaque,,,Gaffer Violet Limited Availability Opaque,"""purple""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-115-Violet-Limited-Availability/,,,
GAF,G-116,Lavender Limited Availability Opaque,,,Gaffer Lavender Limited Availability Opaque,"""blue"", ""purple""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-116-Lavender-Limited-Availability/,,,
GAF,G-120,Lapis Blue Extra Limited Availability Opaque,,,Gaffer Lapis Blue Extra Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-120-Lapis-Blue-Extra-Limited-Availability/,,,
GAF,G-121,Pale Blue Limited Availability Opaque,,,Gaffer Pale Blue Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-121-Pale-Blue-Limited-Availability/,,,
GAF,G-122,Turquoise Limited Availability Opaque,,,Gaffer Turquoise Limited Availability Opaque,"""blue"", ""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-122-Turquoise-Limited-Availability/,,,
GAF,G-123,Steel Blue Limited Availability Opaque,,,Gaffer Steel Blue Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-123-Steel-Blue-Limited-Availability/,,,
GAF,G-124,Robin's Egg Blue Limited Availability Opaque,,,Gaffer Robin's Egg Blue Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-124-Robins-Egg-Blue-Limited-Availability/,,,
GAF,G-125,Denim Blue Limited Availability Opaque,,,Gaffer Denim Blue Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-125-Denim-Blue-Limited-Availability/,,,
GAF,G-126,Stratus Blue Limited Availability Opaque,,,Gaffer Stratus Blue Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-126-Stratus-Blue-Limited-Availability/,,,
GAF,G-127,Pale Turquoise Blue Limited Availability Opaque,,,Gaffer Pale Turquoise Blue Limited Availability Opaque,"""blue"", ""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-127-Pale-Turquoise-Blue-Limited-Availability/,,,
GAF,G-128,Azure Limited Availability Opaque,,,Gaffer Azure Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-128-Azure-Limited-Availability/,,,
GAF,G-129,Navy Limited Availability Opaque,,,Gaffer Navy Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-129-Navy-Limited-Availability/,,,
GAF,G-130,Jade Green Limited Availability Opaque,,,Gaffer Jade Green Limited Availability Opaque,"""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-130-Jade-Green-Limited-Availability/,,,
GAF,G-131,Olive Green Limited Availability Opaque,,,Gaffer Olive Green Limited Availability Opaque,"""brown"", ""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-131-Olive-Green-Limited-Availability/,,,
GAF,G-132,Granny Smith Green Limited Availability Opaque,,,Gaffer Granny Smith Green Limited Availability Opaque,"""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-132-Granny-Smith-Green-Limited-Availability/,,,
GAF,G-133,Lime Limited Availability Opaque,,,Gaffer Lime Limited Availability Opaque,"""green"", ""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-133-Lime-Limited-Availability/,,,
GAF,G-134,Forest Green Limited Availability Opaque,,,Gaffer Forest Green Limited Availability Opaque,"""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-134-Forest-Green-Limited-Availability/,,,
GAF,G-135,Celadon Limited Availability Opaque,,,Gaffer Celadon Limited Availability Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-135-Celadon-Limited-Availability/,,,
GAF,G-136,Chartreuse Limited Availability Opaque,,,Gaffer Chartreuse Limited Availability Opaque,"""green"", ""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-136-Chartreuse-Limited-Availability/,,,
GAF,G-137,Light Apple Green Limited Availability Opaque,,,Gaffer Light Apple Green Limited Availability Opaque,"""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-137-Light-Apple-Green-Limited-Availability/,,,
GAF,G-138,Chameleon Limited Availability Opaque,,,Gaffer Chameleon Limited Availability Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-138-Chameleon-Limited-Availability/,,,
GAF,G-139,British Racing Green  Limited Availability Opaque,,,Gaffer British Racing Green  Limited Availability Opaque,"""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-139-British-Racing-Green-Limited-Availability/,,,
GAF,G-140,Pistachio Limited Availability Opaque,,,Gaffer Pistachio Limited Availability Opaque,"""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-140-Pistachio-Limited-Availability/,,,
GAF,G-141,Oceana Opaque,,,Gaffer Oceana Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-141-Oceana/,,,
GAF,G-142,Ultramarine Limited Availability Opaque,,,Gaffer Ultramarine Limited Availability Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-142-Ultramarine-Limited-Availability/,,,
GAF,G-150,Opalo Duro (Stiff White) Opaque,,,Gaffer Opalo Duro (Stiff White) Opaque,"""white""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-150-Opalo-Duro-Stiff-White/,,,
GAF,G-151,Blue Duro (Stiff Blue) Opaque,,,Gaffer Blue Duro (Stiff Blue) Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-151-Blue-Duro-Stiff-Blue/,,,
GAF,G-152,Verde Duro (Stiff Green) Opaque,,,Gaffer Verde Duro (Stiff Green) Opaque,"""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-152-Verde-Duro-Stiff-Green/,,,
GAF,G-153,Oro Duro (Stiff Gold) Limited Availability Opaque,,,Gaffer Oro Duro (Stiff Gold) Limited Availability Opaque,"""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-153-Oro-Duro-Stiff-Gold-Limited-Availability/,,,
GAF,G-154,Viola Duro  (Stiff Purple) Opaque,,,Gaffer Viola Duro  (Stiff Purple) Opaque,"""purple""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-154-Viola-Duro-Stiff-Purple/,,,
GAF,G-155,Grigio Duro (Stiff Grey) Opaque,,,Gaffer Grigio Duro (Stiff Grey) Opaque,"""gray"", ""grey""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-155-Grigio-Duro-Stiff-Grey/,,,
GAF,G-156,Navy Duro (Stiff Navy) Opaque,,,Gaffer Navy Duro (Stiff Navy) Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-156-Navy-Duro-Stiff-Navy/,,,
GAF,G-157,Turchese Duro (Turquoise) Limited Availability Opaque,,,Gaffer Turchese Duro (Turquoise) Limited Availability Opaque,"""blue"", ""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-157-Turchese-Duro-Turquoise-Limited-Availability/,,,
GAF,G-158,Celadon Duro Opaque,,,Gaffer Celadon Duro Opaque,"""unknown""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-158-Celadon-Duro/,,,
GAF,G-159,Vaniglia Duro (Vanilla) Limited Availability Opaque,,,Gaffer Vaniglia Duro (Vanilla) Limited Availability Opaque,"""white"", ""yellow""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-159-Vaniglia-Duro-Vanilla-Limited-Availability/,,,
GAF,G-160,Mint Limited Availability Opaque,,,Gaffer Mint Limited Availability Opaque,"""green""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-160-Mint-Limited-Availability/,,,
GAF,G-161,Blue Ice Limited Availability Opaque,,,Gaffer Blue Ice Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-161-Blue-Ice-Limited-Availability/,,,
GAF,G-162,Coral Limited Availability Opaque,,,Gaffer Coral Limited Availability Opaque,"""orange"", ""pink""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-162-Coral-Limited-Availability/,,,
GAF,G-163,Night Sky Limited Availability Opaque,,,Gaffer Night Sky Limited Availability Opaque,"""blue""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-163-Night-Sky-Limited-Availability/,,,
GAF,G-164,Mauve Limited Availability Opaque,,,Gaffer Mauve Limited Availability Opaque,"""pink"", ""purple""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-164-Mauve-Limited-Availability/,,,
GAF,G-165,Pink Wisp Limited Availability Opaque,,,Gaffer Pink Wisp Limited Availability Opaque,"""pink""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-165-Pink-Wisp-Limited-Availability/,,,
GAF,G-166,Peach Limited Availability Opaque,,,Gaffer Peach Limited Availability Opaque,"""orange"", ""pink""",,96,sheet,https://ebbatchcolor.com/Gaffer-Opaques/G-166-Peach-Limited-Availability/,,,
