manufacturer,code,name,start_date,end_date,manufacturer_description,tags,synonyms,coe,type,manufacturer_url,image_path,image_url,stock_type
DS,DS-DT00,Clear,,,,"""clear""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/transparent/delphi-superior-clear-90-coe,,,
DS,DS-DS005,White Caps Transparent Streaky,,,,"""white""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/streakies/delphi-superior-white-caps-transparent-streaky-90-coe,,,
DS,DS-DT606,Maraschino Cherry Transparent,,,,"""red""",,90,sheet,https://www.delphiglass.com/winter/winter-cardinal-supplies/delphi-superior-maraschino-cherry-transparent-90-coe,,,
DS,DS-DB4035,Blueberries and Cream Opal Blend,,,,"""white"", ""yellow""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/streakies/delphi-superior-blueberries-and-cream-opal-blend-90-coe,,,
DS,DS-DS5650,"Black, White and Clear Streaky",,,,"""black"", ""clear"", ""white""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/streakies/delphi-superior-black-white-and-clear-streaky-90-coe,,,
DS,DS-DS60650,Cherries Jubliee Streaky,,,,"""unknown""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/streakies/delphi-superior-cherries-jubliee-streaky-90-coe,,,
DS,DS-DT357,Lemoncello Transparent,,,,"""unknown""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/transparent/delphi-superior-lemoncello-transparent-90-coe,,,
DS,DS-DT402,Cotton Candy Transparent,,,,"""unknown""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/transparent/delphi-superior-cotton-candy-transparent-90-coe,,,
DS,DS-DT417,Blue Raspberry Transparent,,,,"""blue"", ""pink"", ""red""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/transparent/delphi-superior-blue-raspberry-transparent-90-coe,,,
DS,DS-DT501,Purple Plum Transparent,,,,"""purple""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/transparent/delphi-superior-purple-plum-transparent-90-coe,,,
DS,DS-DT608,Clementine Transparent,,,,"""unknown""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/transparent/delphi-superior-clementine-transparent-90-coe,,,
DS,DS-DT700,Leafy Green Transparent,,,,"""green""",,90,sheet,https://www.delphiglass.com/delphi-superior-glass/transparent/delphi-superior-leafy-green-transparent-90-coe,,,
